symbolic option
"episod = 0, Step = 19, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 20, Step = 6, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 21, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 21, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 22, Step = 7, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 22, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 22, Step = 16, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 23, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 23, Step = 11, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 23, Step = 49, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 24, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 24, Step = 14, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 25, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 25, Step = 5, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 26, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 26, Step = 34, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 27, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 27, Step = 9, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 28, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 28, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 29, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 29, Step = 13, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 29, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 29, Step = 6, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 30, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 30, Step = 1, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 30, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 30, Step = 13, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 31, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 31, Step = 12, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 31, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 31, Step = 10, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 32, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 32, Step = 7, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 33, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 33, Step = 12, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 33, Step = 2, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 33, Step = 133, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 34, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 34, Step = 12, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 34, Step = 18, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 34, Step = 18, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 35, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 35, Step = 13, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 36, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 36, Step = 11, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 36, Step = 17, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 36, Step = 4, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 37, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 38, Step = 7, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 38, Step = 21, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 39, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 39, Step = 2, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 39, Step = 13, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 40, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 40, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 41, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 41, Step = 2, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 42, Step = 4, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 43, Step = 13, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 44, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 45, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 45, Step = 16, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 45, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 45, Step = 81, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 46, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 46, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 47, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 47, Step = 20, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 48, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 48, Step = 5, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 49, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 49, Step = 3, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 50, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 50, Step = 33, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 51, Step = 16, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 51, Step = 16, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 51, Step = 115, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 52, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 52, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 53, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 53, Step = 3, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 53, Step = 19, failed when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 54, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 54, Step = 4, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 55, Step = 5, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 55, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 56, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 56, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 56, Step = 17, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 56, Step = 13, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 57, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 58, Step = 10, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 58, Step = 10, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 58, Step = 8, reach goal when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 58, Step = 2, reach goal when r1AtLever r2PassMid -> r1AnyPos(NotLocal) r2UpPart"
"episod = 58, Step = 2, failed when r1AnyPos r2UpPart -> r1AnyPos(NotLocal) r2GetTreasure"
"episod = 59, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 59, Step = 8, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 60, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 60, Step = 23, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 60, Step = 3, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 60, Step = 9, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 61, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 61, Step = 4, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 61, Step = 1, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 61, Step = 16, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 62, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 62, Step = 8, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 62, Step = 36, reach goal when r1PassMid r2AtLever -> r1UpPart r2AnyPos(NotLocal)"
"episod = 62, Step = 56, failed when r1UpPart r2AnyPos(NotLocal) -> r1GetTreasure r2AnyPos(NotLocal)"
"episod = 63, Step = 5, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 64, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 64, Step = 1, failed when r1Free r2AtLever -> r1PassMid r2AtLever"
"episod = 65, Step = 10, not reach goal when AllFree -> r1Free(NotLocal) r2AtLever, but reach goal when AllFree -> r1AtLever r2Free(NotLocal)"
"episod = 65, Step = 10, failed when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 65, Step = 8, failed when r1AtLever r2Free -> r1AtLever r2PassMid"
"episod = 66, Step = 4, reach goal when AllFree -> r1Free(NotLocal) r2AtLever"
"episod = 66, Step = 3, reach goal when r1Free r2AtLever -> r1PassMid r2AtLever"
